repo	files	loc	dupLines	ratioPct	clones	topExt	topExtFiles	mirrors
TanStack_query	556	49157	8802	17.91	293	ts	626	-
apollographql_apollo-client	470	114689	19596	17.09	906	ts	611	-
axios_axios	75	6829	10	0.15	1	js	192	-
babel_babel	807	90231	1054	1.17	60	js	14528	-
chalk_chalk	4	382	0	0.00	0	js	16	-
chartjs_Chart.js	95	15921	198	1.24	14	js	653	-
colinhacks_zod	169	31978	1484	4.64	88	ts	467	-
d3_d3	3	93	0	0.00	0	vue	21	-
date-fns_date-fns	1474	70441	7356	10.44	345	ts	1601	-
eslint_eslint	436	66753	1174	1.76	62	js	1477	-
expressjs_express	7	1139	10	0.88	1	js	141	-
fastify_fastify	50	9936	424	4.27	29	js	261	-
gulpjs_gulp	3	57	0	0.00	0	js	6	-
jestjs_jest	1211	57065	1540	2.70	82	js	1086	-
jquery_jquery	140	6851	94	1.37	5	js	227	-
koajs_koa	9	910	0	0.00	0	js	82	-
lodash_lodash	20	8602	22	0.26	2	js	55	-
moment_moment	364	36052	17290	47.96	495	js	771	-
mrdoob_three.js	902	122319	5540	4.53	308	js	1708	-
nodejs_undici	160	26869	652	2.43	38	js	566	-
nodemailer_nodemailer	38	10065	244	2.42	15	ts	95	-
pixijs_pixijs	734	62600	1342	2.14	79	ts	1505	-
pmndrs_zustand	17	1312	12	0.91	1	ts	21	-
preactjs_preact	69	5102	68	1.33	3	jsx	128	-
prettier_prettier	624	43186	372	0.86	20	js	5069	-
reduxjs_redux	20	1212	36	2.97	2	js	141	-
remix-run_react-router	533	155341	21288	13.70	1266	ts	456	-
rollup_rollup	342	34238	804	2.35	43	js	12294	-
sequelize_sequelize	378	41642	2108	5.06	103	ts	546	-
sindresorhus_got	25	7399	10	0.14	1	ts	79	-
socketio_socket.io	93	15842	1234	7.79	62	js	189	-
sveltejs_svelte	428	45051	1094	2.43	49	svelte	4542	-
trpc_trpc	264	24125	572	2.37	32	ts	740	-
typeorm_typeorm	561	81485	14050	17.24	626	ts	3587	-
validatorjs_validator.js	110	4126	54	1.31	3	js	130	-
vitejs_vite	231	44426	1046	2.35	28	js	936	-
vuejs_core	322	52976	694	1.31	36	ts	484	-
webpack_webpack	859	183182	7444	4.06	346	js	14475	-
