repo	files	loc	dupLines	ratioPct	clones	topExt	topExtFiles	mirrors	included	excludeReason
Delgan_loguru	20	4915	16	0.33	1	py	172	-	yes	-
Textualize_rich	81	18322	658	3.59	40	py	213	-	yes	-
agronholm_anyio	43	12328	530	4.30	33	py	79	-	yes	-
aio-libs_aiohttp	55	19845	428	2.16	21	py	167	-	yes	-
arrow-py_arrow	8	8431	252	2.99	14	py	21	-	yes	-
benoitc_gunicorn	69	18606	1078	5.79	57	py	457	-	yes	-
celery_celery	182	33221	250	0.75	17	py	422	-	yes	-
dbt-labs_dbt-core	26	1620	124	7.65	5	rs	1453	-	no	rewritten in Rust: 46 Python files remain
django_django	705	113617	2202	1.94	141	py	2930	-	yes	-
encode_httpx	23	6646	936	14.08	41	py	60	-	yes	-
encode_starlette	36	5441	88	1.62	6	py	84	-	yes	-
encode_uvicorn	39	6047	992	16.40	48	py	84	-	yes	-
kennethreitz_records	2	468	0	0.00	0	py	9	-	no	under 1000 measured lines (468)
marshmallow-code_marshmallow	15	3950	70	1.77	4	py	38	-	yes	-
more-itertools_more-itertools	6	6367	296	4.65	8	py	7	-	yes	-
pallets_click	17	9258	146	1.58	9	py	79	-	yes	-
pallets_flask	24	6721	376	5.59	13	py	83	-	yes	-
pallets_jinja	26	10778	120	1.11	7	py	60	-	yes	-
pallets_werkzeug	50	16535	440	2.66	34	py	138	-	yes	-
paramiko_paramiko	45	13584	272	2.00	19	py	70	-	yes	-
psf_black	47	14511	190	1.31	10	py	345	-	yes	-
psf_requests	20	4574	110	2.40	8	py	37	-	yes	-
psycopg_psycopg	115	19659	1266	6.44	84	py	250	-	yes	-
pydantic_pydantic	108	39500	2928	7.41	150	py	439	-	yes	-
pypa_pip	399	85013	2198	2.59	132	py	661	-	yes	-
pypa_setuptools	229	44355	1750	3.95	68	py	333	-	yes	-
pytest-dev_pytest	85	30346	244	0.80	18	py	272	-	yes	-
python-attrs_attrs	31	6060	286	4.72	16	py	56	-	yes	-
python-pillow_Pillow	131	28066	530	1.89	29	py	299	-	yes	-
python-poetry_poetry	173	19841	130	0.66	11	py	445	-	yes	-
pytoolz_toolz	16	2983	38	1.27	3	py	51	-	yes	-
pytransitions_transitions	34	5573	594	10.66	37	py	39	-	yes	-
redis_redis-py	155	58923	8614	14.62	421	py	322	-	yes	-
scrapy_scrapy	172	24360	272	1.12	19	py	486	-	yes	-
sqlalchemy_sqlalchemy	232	171297	8652	5.05	469	py	673	-	yes	-
streamlit_streamlit	562	104471	8762	8.39	453	py	1195	-	yes	-
sympy_sympy	840	382814	19092	4.99	1141	py	1607	-	yes	-
tiangolo_fastapi	70	19682	4936	25.08	103	py	1138	-	yes	-
tornadoweb_tornado	39	18232	278	1.52	18	py	107	-	yes	-
tqdm_tqdm	34	3806	82	2.15	5	py	68	-	yes	-
