repo	files	loc	dupLines	ratioPct	clones	topExt	topExtFiles	mirrors
Delgan_loguru	20	4915	16	0.33	1	py	172	-
Textualize_rich	81	18322	658	3.59	40	py	213	-
agronholm_anyio	43	12328	530	4.30	33	py	79	-
aio-libs_aiohttp	55	19845	428	2.16	21	py	167	-
arrow-py_arrow	8	8431	252	2.99	14	py	21	-
benoitc_gunicorn	69	18606	1078	5.79	57	py	457	-
celery_celery	182	33221	250	0.75	17	py	422	-
dbt-labs_dbt-core	26	1620	124	7.65	5	rs	1453	-
django_django	705	113617	2202	1.94	141	py	2930	-
encode_httpx	23	6646	936	14.08	41	py	60	-
encode_starlette	36	5441	88	1.62	6	py	84	-
encode_uvicorn	39	6047	992	16.40	48	py	84	-
kennethreitz_records	2	468	0	0.00	0	py	9	-
marshmallow-code_marshmallow	15	3950	70	1.77	4	py	38	-
more-itertools_more-itertools	6	6367	296	4.65	8	py	7	-
pallets_click	17	9258	146	1.58	9	py	79	-
pallets_flask	24	6721	376	5.59	13	py	83	-
pallets_jinja	26	10778	120	1.11	7	py	60	-
pallets_werkzeug	50	16535	440	2.66	34	py	138	-
paramiko_paramiko	45	13584	272	2.00	19	py	70	-
psf_black	47	14511	190	1.31	10	py	345	-
psf_requests	20	4574	110	2.40	8	py	37	-
psycopg_psycopg	115	19659	1266	6.44	84	py	250	-
pydantic_pydantic	108	39500	2928	7.41	150	py	439	-
pypa_pip	399	85013	2198	2.59	132	py	661	-
pypa_setuptools	229	44355	1750	3.95	68	py	333	-
pytest-dev_pytest	85	30346	244	0.80	18	py	272	-
python-attrs_attrs	31	6060	286	4.72	16	py	56	-
python-pillow_Pillow	131	28066	530	1.89	29	py	299	-
python-poetry_poetry	173	19841	130	0.66	11	py	445	-
pytoolz_toolz	16	2983	38	1.27	3	py	51	-
pytransitions_transitions	34	5573	594	10.66	37	py	39	-
redis_redis-py	155	58923	8614	14.62	421	py	322	-
scrapy_scrapy	172	24360	272	1.12	19	py	486	-
sqlalchemy_sqlalchemy	232	171297	8652	5.05	469	py	673	-
streamlit_streamlit	562	104471	8762	8.39	453	py	1195	-
sympy_sympy	840	382814	19092	4.99	1141	py	1607	-
tiangolo_fastapi	70	19682	4936	25.08	103	py	1138	-
tornadoweb_tornado	39	18232	278	1.52	18	py	107	-
tqdm_tqdm	34	3806	82	2.15	5	py	68	-
