repo	files	loc	dupLines	ratioPct	clones
Delgan_loguru	20	4915	16	0.33	1
Textualize_rich	81	18322	658	3.59	40
arrow-py_arrow	8	8431	252	2.99	14
benoitc_gunicorn	69	18606	1078	5.79	57
celery_celery	182	33221	250	0.75	17
encode_httpx	23	6646	936	14.08	41
kennethreitz_records	2	468	0	0.00	0
pallets_click	17	9258	146	1.58	9
pallets_flask	24	6721	376	5.59	13
pallets_jinja	26	10778	120	1.11	7
pallets_werkzeug	50	16535	440	2.66	34
psf_black	47	14511	190	1.31	10
psf_requests	20	4574	110	2.40	8
pydantic_pydantic	108	39497	2928	7.41	150
pytest-dev_pytest	85	30346	244	0.80	18
python-attrs_attrs	31	6060	286	4.72	16
scrapy_scrapy	172	24360	272	1.12	19
sqlalchemy_sqlalchemy	232	171251	8652	5.05	469
tiangolo_fastapi	70	19682	4936	25.08	103
tornadoweb_tornado	55	19274	278	1.44	18
# Production code only; tests, docs, examples, benchmarks, profiling and generated lookup
# tables excluded (same settings as the plugin). Measured 2026-09-02 with algorithm v2.
# n=19 repositories over 1000 LOC. Percentiles of ratioPct:
#   p10 0.79  p25 1.22  p50 2.66  p75 5.32  p90 8.74
# Thresholds derived: dupRatioWarn = p75 = 5.3, dupRatioCrit = p90 = 8.7
# Regenerate: ./tools/clone-cohort.sh /tmp/cohort-py py && java -cp ... CohortProbe /tmp/cohort-py py
